Athletenstatue;Diskobolos;Kuenstler unbekannt;Die Faelschung traegt eine Armbanduhr
Dickkopfskulptur;Olmekischer Kolossalkopf;Kuenstler unbekannt;Die Faelschung laechelt
Eleganzstatue; Venus von Milo; Kuenstler unbekannt;Die Faelschung hat eine Halskette
Erhabenstatue;Nike von Samothrake;Kuenstler unbekannt;Das Kleid der Faelschung faellt anders
Galantstatue;David;Michelabelo, um 1504;Die Faelschung traegt ein Buch unter ihrem Arm
Geheimnisbueste;Bueste der Nofretete;Thutmosis;Faelschung hat einen Ohrring am rechten Ohr
Hinweisskulptur;Stein von Rosette;Kuenstler unbekannt;Die Faelschung ist blau
Kriegerstatue;unbekannt;unbekannt;Die Faelschung hat einen groesseren Sockel mit Schild
Prachskulptur;unbekannt;unbekannt;Die Faelschung hat einen Deckel
Uraltstatue;unbekannt;unbekannt;Die Faelschung traegt seitlichen Kopfschmuck
Woelfinnenstatue;Kapitolinische Woelfin;Kuenstler unbekannt;Bei der Faelschung haengt die Zunge der Woelfin aus dem Maul
Vetrautstatue;Der Denker;Auguste Rodin;ohne Faelschung
Wuerdestatue;Koenig Kamehameha I.;Thomas Ridgeway Gould;ohne Faelschung
Altertumsgemaelde;Dienstmagd mit Milchkrug;Jan Vermeer;Es kommt zuviel Mich aus dem Krug
Anmutsgemaelde;Zurückblickende Schoenheit;Hishikawa Moronobu;Die Faelschung ist groesser und füllt das Bild nahezu aus
Berühmtgemaelde;Mona Lisa;Leonardo da Vinci;Die Faelschung hat auffaellige Augenbrauen.
Detailgemaelde;Hahn und Henne mit Hortensien;Ito Jakuchu;Ein Schriftzug fehlt und die Trauben sind lila
Einfachgemaelde;Knabe in Blau;Thomas Gainsborough;Die Person hat lange Haare
Edelgemaelde;Dame mit dem Hermelin;Leonardo da Vinci;Das Hermelin ist grau.
Enormgemaelde;Die Nachtwache;Rembrandt van Rijn;In der Faelschung fehlt dem schwarz gekleideten Mann ein Hut
Feierlichgemaelde;Las Meninas;Diego Velázquez;Der Mann im Türrahmen zeigt einen „Daumen hoch“
Furchtgemaelde;Otani Oniji III. als Yakko Edobei;Toshusai Sharaku;Die Augenbrauen der Faelschung sind horizontal gespiegelt.
Gemüsegemaelde;Der Sommer;Giuseppe Arcimboldo, um 1563 oel auf Leinwand;Die Blume rechts unten fehlt.
Perlengemaelde;Das Maedchen mit dem Perlenohrgehaenge;Jan Vermeer;Die Frau traegt einen Sternenohrring.
Schoengemaelde;Die Geburt der Venus;Sandro Botticelli;Die Baeume im Hintergrund fehlen.
Ungestümgemaelde (links);Wandschirm mit Fujin und Raijin, Die Goetter von Wind und Donner;Tawaraya Sotatsu;Der Donnergott Raijin hat in der Faelschung eine grünliche Farbe und ein Schriftzug ist im Bild.
Ungestümgemaelde (rechts);Wandschirm mit Fujin und Raijin, Die Goetter von Wind und Donner;Tawaraya Sotatsu;Der Windgott Fujin hat in der Faelschung eine helle Hautfarbe und ein Schriftzug ist im Bild.
Wintergemaelde;Der Jaeger im Schnee;Pieter Bruegel der Aeltere;Eine Person und Tiere im Vordergrund fehlen.
Wissenschaftsgemaelde;Der vitruvianische Mensch;Leonardo da Vinci;Auf der Faelschung ist ein grosser Kaffeefleck.
Bekanntgemaelde;Die Aehrenleserinnen;Jean-Francois Millet;ohne Faelschung
Blumengemaelde;Fünfzehn Sonnenblumen;Vincent van Gogh;ohne Faelschung
Funkelgemaelde;Sternennacht;Vincent van Gogh;ohne Faelschung
Hübschgemaelde;Pfeifer;Edouard Manet;ohne Faelschung
Kraftgemaelde;Saemann;Jean-Francois Millet;ohne Faelschung
Lichtgemaelde;Die kaempfende Temeraire;William Turner;ohne Faelschung
Perfektgemaelde;Stillleben mit aepfeln und Orangen;Paul Cezanne;ohne Faelschung
Raetselgemaelde;Die Toteninsel;Arnold Boecklins;ohne Faelschung
Ruhegemaelde;Ein Sonntagnachmittag auf der Insel La Grande Jatte;Georges Seurat;ohne Faelschung
Strenggemaelde;Bar in den Folies Bergere;Edouard Manet;ohne Faelschung
Versinkgemaelde;Ophelia;John Everett Millais;ohne Faelschung
Wahrgemaelde;Die Freiheit füehrt das Volk;Eugene Delacroix;ohne Faelschung
Warmgemaelde;Die bekleidete Maja;Francisco de Goya;ohne Faelschung
Wellengemaelde;36 Ansichten des Berges Fuji, Die grosse Welle von Kanagawa;Katsushika Hokusai;ohne Faelschung
